shots	 electron_density:reliability	 cbd	 cb	 breakdown_field	 tb	 electron_temperature_max	 pressure_initial	 tcd	 input_power_mean	 breakdown_voltage	 plasma_life	 breakdown_time	 lb	 electron_density_mean	 ust	 plasma_current_decay	 cst	 tst	 plasma	 electron_confinement_time	 chamber_temperature	 breakdown_rate	 loop_voltage_mean	 pressure_request	 electron_confinement_t98	 zeff	 toroidal_field_mean	 chamber_resistance	 pressure	 chamber_inductance	 toroidal_field_max	 tbd	 input_power_plasma_mean	 breakdown_rate_err	 ubd	 plasma_current_mean	 breakdown_probability	 discharge_aborted	 pressure_chamber	 ucd	 electron_density_equilibrium	 ccd	 loop_voltage_max	 ub	 
29214	  nan	  0.0036	  0.0675	  nan	  0.005	  nan	  0.24536	  0.015	  nan	  nan	  nan	  nan	  0.0028	  nan	  0	  9.6534e+06	  0.0027	  0.005	  0	  nan	  26.2	  nan	  nan	  20	  nan	  3	  nan	  0.0097	  22.657	  1.2e-06	  0.3691	  0.005	  nan	  nan	  0	  nan	  86	  nan	  nan	  400	  nan	  0.0135	  10.413	  900	 
29215	  nan	  0.0036	  0.0675	  0.32199	  0.005	  15.626	  0.2732	  0.015	  11616	  12.105	  0.00586	  0.017616	  0.0028	  nan	  0	  8.3078e+06	  0.0027	  0.005	  1	  2.1218e-05	  25.9	  nan	  10.212	  20	  nan	  3	  0.35087	  0.0097	  22.484	  1.2e-06	  0.36663	  0.005	  9154.5	  nan	  0	  1137.5	  96	  nan	  nan	  500	  5.4283e+18	  0.0135	  18.027	  900	 
29216	  nan	  0.0036	  0.0675	  0.16207	  0.005	  28.359	  0.2894	  0.0105	  21897	  12.575	  0.0081	  0.013088	  0.0028	  nan	  0	  7.3426e+06	  0.0027	  0.005	  1	  6.9844e-06	  26	  nan	  8.6273	  16	  nan	  3	  0.21063	  0.0097	  7.3019	  1.2e-06	  0.2491	  0.005	  17192	  nan	  0	  2538.1	  93	  nan	  nan	  500	  1.7629e+18	  0.0135	  25.566	  600	 
29217	  nan	  0.0036	  0.0675	  0.30944	  0.005	  20.516	  0.27743	  0.015	  24292	  13.636	  0.00798	  0.017051	  0.0028	  nan	  0	  8.2761e+06	  0.0027	  0.005	  1	  1.2602e-05	  25.8	  nan	  11.883	  20	  nan	  3	  0.34665	  0.0097	  20.902	  1.2e-06	  0.36185	  0.005	  19277	  nan	  0	  2044.2	  98	  nan	  nan	  600	  5.0465e+18	  0.0135	  21.525	  900	 
29218	  nan	  0.0036	  0.0675	  0.31167	  0.005	  24.676	  0.2894	  0.015	  37807	  14.905	  0.00926	  0.016741	  0.0028	  nan	  0	  1.0103e+07	  0.0027	  0.005	  1	  9.6742e-06	  25.6	  nan	  13.314	  20	  nan	  3	  0.35484	  0.0097	  21.637	  1.2e-06	  0.37031	  0.005	  30433	  nan	  0	  2839.7	  98	  nan	  nan	  700	  5.2239e+18	  0.0135	  21.921	  900	 
29219	  nan	  0.0036	  0.0675	  0.12029	  0.005	  23.055	  0.2894	  0.007	  15202	  10.722	  0.00774	  0.009338	  0.0028	  nan	  0	  6.9613e+06	  0.0027	  0.005	  1	  1.834e-05	  25.4	  nan	  8.4595	  20	  nan	  3	  0.20514	  0.0097	  16.539	  1.2e-06	  0.31573	  0.005	  11554	  nan	  0	  1797.1	  93	  nan	  nan	  450	  3.993e+18	  0.0135	  20.586	  750	 
29220	  nan	  0.0036	  0.0675	  0.10794	  0.005	  33.329	  0.27216	  0.007	  29125	  12.105	  0.0101	  0.008943	  0.0028	  nan	  0	  7.9983e+06	  0.0027	  0.005	  1	  1.2765e-05	  25.5	  nan	  8.8824	  20	  nan	  3	  0.21173	  0.0097	  15.258	  1.2e-06	  0.30931	  0.005	  22940	  nan	  0	  3278.9	  95	  nan	  nan	  550	  3.6838e+18	  0.0135	  27.215	  750	 
29221	  nan	  0.0036	  0.0675	  0.10186	  0.005	  35.252	  0.27216	  0.007	  38562	  13.528	  0.0099	  0.008683	  0.0028	  nan	  0	  5.9845e+06	  0.0027	  0.005	  1	  5.6583e-06	  25.4	  nan	  9.9835	  20	  nan	  3	  0.20605	  0.0097	  8.6787	  1.2e-06	  0.31063	  0.005	  33696	  nan	  0	  3862.6	  90	  nan	  nan	  650	  2.0953e+18	  0.0135	  29.161	  750	 
29222	  nan	  0.0036	  0.0675	  0.25154	  0.005	  18.607	  0.57972	  0.013	  9592.8	  11.816	  0.00546	  0.016004	  0.0028	  nan	  0	  5.4712e+06	  0.0027	  0.005	  1	  1.3356e-05	  25.5	  nan	  8.9764	  20	  nan	  3	  0.28347	  0.0097	  11.181	  1.2e-06	  0.31054	  0.005	  7825.6	  nan	  0	  1068.7	  94	  nan	  nan	  450	  2.6994e+18	  0.0135	  18.383	  750	 
29223	  nan	  0.0036	  0.0675	  0.23313	  0.005	  26.411	  0.57972	  0.013	  22686	  12.729	  0.00842	  0.015071	  0.0028	  nan	  0	  8.1712e+06	  0.0027	  0.005	  1	  8.5038e-06	  25.4	  nan	  10.01	  20	  nan	  3	  0.28014	  0.0097	  10.968	  1.2e-06	  0.30566	  0.005	  18553	  nan	  0	  2266.3	  97	  nan	  nan	  550	  2.6481e+18	  0.0135	  23.888	  750	 
29224	  nan	  0.0036	  0.0675	  0.23263	  0.005	  34.758	  0.56652	  0.013	  31873	  14.166	  0.00986	  0.014921	  0.0028	  nan	  0	  8.6655e+06	  0.0027	  0.005	  1	  7.9556e-06	  25.4	  nan	  9.7217	  20	  nan	  3	  0.28504	  0.0097	  11.053	  1.2e-06	  0.30856	  0.005	  29800	  nan	  0	  3278.5	  97	  nan	  nan	  650	  2.6685e+18	  0.0135	  27.397	  750	 
